Record_ID,Activity_Year,LEI,Institution_Name,State,County,Census_Tract,Action_Taken_Code,Loan_Type,Loan_Purpose,Loan_Amount,Applicant_Income,Debt_To_Income,Combined_LTV,Rate_Spread,Applicant_Race,Applicant_Ethnicity,Applicant_Sex,Minority_Status,Denial_Reason_1,AUS_Result
WI24-0001,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Milwaukee County,55079000100,3,VA-guaranteed,Cash-out refinancing,595000,206300,<30%,68.6,,American Indian or Alaska Native,Not Hispanic or Latino,Female,Minority,Credit history,Not applicable
WI24-0002,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Milwaukee County,55079000100,3,VA-guaranteed,Home improvement,200000,133800,<30%,67.9,,American Indian or Alaska Native,Not Hispanic or Latino,Joint,Minority,Debt-to-income ratio,Refer/Eligible
WI24-0003,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Milwaukee County,55079000100,3,VA-guaranteed,Refinancing,292500,102200,50%-60%,82.0,,White,Hispanic or Latino,Joint,Minority,Insufficient cash,Accept
WI24-0004,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Milwaukee County,55079000100,3,Conventional,Home purchase,335000,208800,50%-60%,93.4,,Black or African American,Not Hispanic or Latino,Not provided,Minority,Insufficient cash,Accept
WI24-0005,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Milwaukee County,55079000100,3,VA-guaranteed,Home purchase,412500,205750,41%-<46%,83.0,,American Indian or Alaska Native,Not Hispanic or Latino,Not provided,Minority,,Approve/Eligible
WI24-0006,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Milwaukee County,55079000100,1,FHA-insured,Cash-out refinancing,412500,133750,36%-<41%,78.6,1.79,Black or African American,Not Hispanic or Latino,Female,Minority,,Approve/Eligible
WI24-0007,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Milwaukee County,55079000100,1,Conventional,Refinancing,872500,98200,46%-<50%,87.0,2.2,White,Not Hispanic or Latino,Male,Non-Minority,,Not applicable
WI24-0008,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Milwaukee County,55079000100,1,VA-guaranteed,Home improvement,797500,79800,46%-<50%,73.6,2.19,Asian,Not Hispanic or Latino,Male,Minority,,Accept
WI24-0009,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Milwaukee County,55079000100,1,VA-guaranteed,Refinancing,197500,79200,30%-<36%,63.6,2.16,Asian,Not Hispanic or Latino,Male,Minority,,Refer/Eligible
WI24-0010,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Milwaukee County,55079000100,4,Conventional,Cash-out refinancing,392500,71000,<30%,76.1,,Black or African American,Not Hispanic or Latino,Male,Minority,,Not applicable
WI24-0011,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Milwaukee County,55079000100,5,VA-guaranteed,Refinancing,567500,174750,36%-<41%,76.9,,White,Hispanic or Latino,Joint,Minority,,Refer/Eligible
WI24-0012,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Milwaukee County,55079000100,2,Conventional,Refinancing,412500,178750,41%-<46%,80.6,,Asian,Not Hispanic or Latino,Not provided,Minority,,Ineligible
WI24-0013,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Milwaukee County,55079000201,3,Conventional,Refinancing,170000,198750,46%-<50%,93.2,,American Indian or Alaska Native,Not Hispanic or Latino,Female,Minority,Unverifiable information,Refer/Eligible
WI24-0014,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Milwaukee County,55079000201,3,Conventional,Home improvement,732500,168300,46%-<50%,64.8,,Black or African American,Not Hispanic or Latino,Male,Minority,Unverifiable information,Ineligible
WI24-0015,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Milwaukee County,55079000201,3,VA-guaranteed,Cash-out refinancing,237500,69800,30%-<36%,64.8,,Black or African American,Not Hispanic or Latino,Female,Minority,Unverifiable information,Not applicable
WI24-0016,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Milwaukee County,55079000201,3,FHA-insured,Refinancing,552500,63000,<30%,75.3,,White,Hispanic or Latino,Joint,Minority,Unverifiable information,Not applicable
WI24-0017,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Milwaukee County,55079000201,1,VA-guaranteed,Refinancing,245000,164300,46%-<50%,78.4,1.88,Asian,Not Hispanic or Latino,Female,Minority,,Accept
WI24-0018,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Milwaukee County,55079000201,1,Conventional,Home purchase,727500,78800,<30%,81.5,1.75,American Indian or Alaska Native,Not Hispanic or Latino,Joint,Minority,,Approve/Eligible
WI24-0019,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Milwaukee County,55079000201,1,FHA-insured,Refinancing,202500,153800,41%-<46%,75.8,2.37,White,Hispanic or Latino,Female,Minority,,Accept
WI24-0020,2024,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,WI,Milwaukee County,55079000201,1,FHA-insured,Home purchase,512500,115300,41%-<46%,72.6,1.85,American Indian or Alaska Native,Not Hispanic or Latino,Not provided,Minority,,Not applicable
